Month,Day,Interval,Service Level,Call Volume,Abandoned Calls,Abandoned Rate,CCT
April,1,0:00,100.00%,72.0,0.0,0.00%,283.29
April,1,0:30,100.00%,56.0,0.0,0.00%,293.89
April,1,1:00,100.00%,31.0,0.0,0.00%,323.45
April,1,1:30,100.00%,34.0,0.0,0.00%,247.38
April,1,2:00,100.00%,16.0,0.0,0.00%,282.69
April,1,2:30,92.86%,14.0,0.0,0.00%,293.57
April,1,3:00,100.00%,11.0,0.0,0.00%,198.64
April,1,3:30,100.00%,13.0,0.0,0.00%,272.77
April,1,4:00,100.00%,8.0,0.0,0.00%,467.38
April,1,4:30,100.00%,12.0,0.0,0.00%,122.75
April,1,5:00,100.00%,17.0,0.0,0.00%,283.53
April,1,5:30,100.00%,20.0,0.0,0.00%,275.85
April,1,6:00,100.00%,34.0,0.0,0.00%,301.59
April,1,6:30,100.00%,34.0,0.0,0.00%,224.47
April,1,7:00,98.78%,82.0,0.0,0.00%,246.26
April,1,7:30,96.09%,128.0,0.0,0.00%,280.62
April,1,8:00,99.10%,223.0,0.0,0.00%,287.82
April,1,8:30,99.41%,338.0,0.0,0.00%,307.67
April,1,9:00,96.48%,569.0,1.0,0.18%,301.98
April,1,9:30,99.45%,726.0,2.0,0.28%,310.58
April,1,10:00,99.14%,813.0,2.0,0.25%,322.72
April,1,10:30,96.93%,915.0,4.0,0.44%,325.08
April,1,11:00,96.15%,939.0,4.0,0.43%,350.13
April,1,11:30,95.38%,1017.0,0.0,0.00%,338.27
April,1,12:00,89.62%,1046.0,6.0,0.57%,338.82
April,1,12:30,95.03%,1070.0,3.0,0.28%,334.74
April,1,13:00,99.00%,1101.0,1.0,0.09%,346.13
April,1,13:30,77.64%,1065.0,14.0,1.31%,323.85
April,1,14:00,99.13%,1144.0,0.0,0.00%,338.26
April,1,14:30,93.27%,1151.0,7.0,0.61%,342.38
April,1,15:00,98.18%,1101.0,2.0,0.18%,335.53
April,1,15:30,99.43%,1054.0,2.0,0.19%,349.68
April,1,16:00,98.81%,1097.0,2.0,0.18%,358.12
April,1,16:30,99.25%,1069.0,1.0,0.09%,348.82
April,1,17:00,91.40%,1049.0,2.0,0.19%,342.7
April,1,17:30,96.30%,955.0,9.0,0.94%,355.31
April,1,18:00,92.53%,875.0,5.0,0.57%,353.11
April,1,18:30,98.65%,742.0,0.0,0.00%,360.64
April,1,19:00,84.54%,732.0,14.0,1.91%,335.24
April,1,19:30,96.61%,619.0,0.0,0.00%,337.65
April,1,20:00,98.66%,522.0,1.0,0.19%,351.62
April,1,20:30,99.54%,438.0,1.0,0.23%,325.31
April,1,21:00,100.00%,396.0,1.0,0.25%,313.25
April,1,21:30,99.69%,325.0,0.0,0.00%,360.79
April,1,22:00,72.83%,277.0,12.0,4.33%,333.05
April,1,22:30,76.19%,212.0,2.0,0.94%,338.09
April,1,23:00,100.00%,153.0,0.0,0.00%,357.27
April,1,23:30,100.00%,109.0,0.0,0.00%,314.5
April,2,0:00,100.00%,81.0,0.0,0.00%,298.96
April,2,0:30,100.00%,67.0,0.0,0.00%,291.91
April,2,1:00,100.00%,50.0,0.0,0.00%,304.42
April,2,1:30,100.00%,31.0,0.0,0.00%,398.48
April,2,2:00,80.00%,17.0,2.0,11.76%,269.07
April,2,2:30,94.12%,17.0,0.0,0.00%,384.65
April,2,3:00,100.00%,11.0,1.0,9.09%,158.4
April,2,3:30,100.00%,11.0,0.0,0.00%,500.64
April,2,4:00,100.00%,14.0,0.0,0.00%,338.5
April,2,4:30,100.00%,13.0,0.0,0.00%,316.0
April,2,5:00,100.00%,13.0,0.0,0.00%,291.38
April,2,5:30,100.00%,27.0,0.0,0.00%,252.81
