timestamp,Month,Day,Interval,Service Level,Call Volume,Abandoned Calls,Abandoned Rate,CCT,hour,day_of_week,month_num,interval_index,is_weekend
2025-04-08 00:00:00,April,8,2025-04-08 00:00:00,100.0,5.0,0.0,0.0,351.8,0,1,4,0,0
2025-04-08 00:30:00,April,8,2025-04-08 00:30:00,100.0,11.0,0.0,0.0,480.64,0,1,4,1,0
2025-04-08 01:00:00,April,8,2025-04-08 01:00:00,100.0,4.0,0.0,0.0,481.0,1,1,4,2,0
2025-04-08 01:30:00,April,8,2025-04-08 01:30:00,100.0,6.0,0.0,0.0,286.67,1,1,4,3,0
2025-04-08 02:00:00,April,8,2025-04-08 02:00:00,100.0,2.0,0.0,0.0,372.0,2,1,4,4,0
2025-04-08 02:30:00,April,8,2025-04-08 02:30:00,100.0,1.0,0.0,0.0,2.0,2,1,4,5,0
2025-04-08 03:00:00,April,8,2025-04-08 03:00:00,100.0,0.0,0.0,0.0,2.0,3,1,4,6,0
2025-04-08 03:30:00,April,8,2025-04-08 03:30:00,100.0,0.0,0.0,0.0,2.0,3,1,4,7,0
2025-04-08 04:00:00,April,8,2025-04-08 04:00:00,100.0,1.0,0.0,0.0,211.0,4,1,4,8,0
2025-04-08 04:30:00,April,8,2025-04-08 04:30:00,100.0,2.0,0.0,0.0,121.5,4,1,4,9,0
2025-04-08 05:00:00,April,8,2025-04-08 05:00:00,100.0,3.0,0.0,0.0,217.67,5,1,4,10,0
2025-04-08 05:30:00,April,8,2025-04-08 05:30:00,100.0,3.0,0.0,0.0,134.67,5,1,4,11,0
2025-04-08 06:00:00,April,8,2025-04-08 06:00:00,100.0,1.0,0.0,0.0,206.0,6,1,4,12,0
2025-04-08 06:30:00,April,8,2025-04-08 06:30:00,14.29,8.0,1.0,0.00125,206.29,6,1,4,13,0
2025-04-08 07:00:00,April,8,2025-04-08 07:00:00,40.0,5.0,0.0,0.0,268.4,7,1,4,14,0
2025-04-08 07:30:00,April,8,2025-04-08 07:30:00,92.86,14.0,0.0,0.0,297.79,7,1,4,15,0
