timestamp,Month,Day,Interval,Service Level,Call Volume,Abandoned Calls,Abandoned Rate,CCT,hour,day_of_week,month_num,interval_index,is_weekend
2025-04-08 00:00:00,April,8,2025-04-08 00:00:00,100.0,42.0,0.0,0.0,326.86,0,1,4,0,0
2025-04-08 00:30:00,April,8,2025-04-08 00:30:00,100.0,28.0,0.0,0.0,356.25,0,1,4,1,0
2025-04-08 01:00:00,April,8,2025-04-08 01:00:00,100.0,14.0,0.0,0.0,326.21,1,1,4,2,0
2025-04-08 01:30:00,April,8,2025-04-08 01:30:00,100.0,8.0,0.0,0.0,241.75,1,1,4,3,0
2025-04-08 02:00:00,April,8,2025-04-08 02:00:00,100.0,2.0,0.0,0.0,421.5,2,1,4,4,0
2025-04-08 02:30:00,April,8,2025-04-08 02:30:00,100.0,4.0,0.0,0.0,174.25,2,1,4,5,0
2025-04-08 03:00:00,April,8,2025-04-08 03:00:00,100.0,2.0,0.0,0.0,214.5,3,1,4,6,0
2025-04-08 03:30:00,April,8,2025-04-08 03:30:00,100.0,2.0,0.0,0.0,219.5,3,1,4,7,0
2025-04-08 04:00:00,April,8,2025-04-08 04:00:00,100.0,1.0,0.0,0.0,435.0,4,1,4,8,0
2025-04-08 04:30:00,April,8,2025-04-08 04:30:00,100.0,0.0,0.0,0.0,435.0,4,1,4,9,0
2025-04-08 05:00:00,April,8,2025-04-08 05:00:00,100.0,1.0,0.0,0.0,168.0,5,1,4,10,0
2025-04-08 05:30:00,April,8,2025-04-08 05:30:00,100.0,2.0,0.0,0.0,199.0,5,1,4,11,0
2025-04-08 06:00:00,April,8,2025-04-08 06:00:00,100.0,4.0,0.0,0.0,238.75,6,1,4,12,0
2025-04-08 06:30:00,April,8,2025-04-08 06:30:00,50.0,7.0,3.0,0.0042857142857142,369.75,6,1,4,13,0
2025-04-08 07:00:00,April,8,2025-04-08 07:00:00,94.74,19.0,0.0,0.0,196.0,7,1,4,14,0
2025-04-08 07:30:00,April,8,2025-04-08 07:30:00,100.0,25.0,0.0,0.0,278.68,7,1,4,15,0
2025-04-08 08:00:00,April,8,2025-04-08 08:00:00,100.0,61.0,0.0,0.0,257.2,8,1,4,16,0
2025-04-08 08:30:00,April,8,2025-04-08 08:30:00,99.03,103.0,0.0,0.0,326.7,8,1,4,17,0
2025-04-08 09:00:00,April,8,2025-04-08 09:00:00,98.83,172.0,1.0,5.813953488372093e-05,263.75,9,1,4,18,0
2025-04-08 09:30:00,April,8,2025-04-08 09:30:00,98.96,193.0,0.0,0.0,302.99,9,1,4,19,0
2025-04-08 10:00:00,April,8,2025-04-08 10:00:00,78.82,295.0,7.0,0.0002372881355932,306.25,10,1,4,20,0
2025-04-08 10:30:00,April,8,2025-04-08 10:30:00,62.45,294.0,17.0,0.000578231292517,337.06,10,1,4,21,0
2025-04-08 11:00:00,April,8,2025-04-08 11:00:00,76.61,375.0,3.0,8e-05,319.5,11,1,4,22,0
2025-04-08 11:30:00,April,8,2025-04-08 11:30:00,97.39,345.0,0.0,0.0,330.73,11,1,4,23,0
2025-04-08 12:00:00,April,8,2025-04-08 12:00:00,96.67,391.0,1.0,2.557544757033248e-05,362.05,12,1,4,24,0
2025-04-08 12:30:00,April,8,2025-04-08 12:30:00,95.65,418.0,4.0,9.569377990430622e-05,341.72,12,1,4,25,0
2025-04-08 13:00:00,April,8,2025-04-08 13:00:00,95.58,407.0,0.0,0.0,345.8,13,1,4,26,0
2025-04-08 13:30:00,April,8,2025-04-08 13:30:00,98.12,429.0,4.0,9.324009324009324e-05,353.92,13,1,4,27,0
2025-04-08 14:00:00,April,8,2025-04-08 14:00:00,92.49,454.0,1.0,2.202643171806168e-05,358.26,14,1,4,28,0
2025-04-08 14:30:00,April,8,2025-04-08 14:30:00,97.97,445.0,2.0,4.4943820224719104e-05,337.22,14,1,4,29,0
2025-04-08 15:00:00,April,8,2025-04-08 15:00:00,99.55,446.0,0.0,0.0,338.74,15,1,4,30,0
2025-04-08 15:30:00,April,8,2025-04-08 15:30:00,99.54,433.0,1.0,2.3094688221709005e-05,326.82,15,1,4,31,0
2025-04-08 16:00:00,April,8,2025-04-08 16:00:00,89.11,460.0,1.0,2.173913043478261e-05,368.39,16,1,4,32,0
2025-04-08 16:30:00,April,8,2025-04-08 16:30:00,96.05,406.0,1.0,2.4630541871921184e-05,343.56,16,1,4,33,0
2025-04-08 17:00:00,April,8,2025-04-08 17:00:00,100.0,393.0,0.0,0.0,354.52,17,1,4,34,0
2025-04-08 17:30:00,April,8,2025-04-08 17:30:00,98.66,374.0,1.0,2.67379679144385e-05,369.9,17,1,4,35,0
2025-04-08 18:00:00,April,8,2025-04-08 18:00:00,98.64,372.0,3.0,8.064516129032258e-05,330.08,18,1,4,36,0
2025-04-08 18:30:00,April,8,2025-04-08 18:30:00,98.58,352.0,0.0,0.0,332.09,18,1,4,37,0
2025-04-08 19:00:00,April,8,2025-04-08 19:00:00,97.98,301.0,4.0,0.0001328903654485,348.25,19,1,4,38,0
2025-04-08 19:30:00,April,8,2025-04-08 19:30:00,98.84,258.0,0.0,0.0,314.11,19,1,4,39,0
2025-04-08 20:00:00,April,8,2025-04-08 20:00:00,100.0,224.0,0.0,0.0,314.66,20,1,4,40,0
2025-04-08 20:30:00,April,8,2025-04-08 20:30:00,100.0,236.0,1.0,4.2372881355932206e-05,325.2,20,1,4,41,0
2025-04-08 21:00:00,April,8,2025-04-08 21:00:00,99.42,171.0,0.0,0.0,319.67,21,1,4,42,0
2025-04-08 21:30:00,April,8,2025-04-08 21:30:00,100.0,134.0,0.0,0.0,313.39,21,1,4,43,0
2025-04-08 22:00:00,April,8,2025-04-08 22:00:00,100.0,106.0,0.0,0.0,298.69,22,1,4,44,0
2025-04-08 22:30:00,April,8,2025-04-08 22:30:00,100.0,83.0,0.0,0.0,340.61,22,1,4,45,0
2025-04-08 23:00:00,April,8,2025-04-08 23:00:00,100.0,60.0,0.0,0.0,323.38,23,1,4,46,0
2025-04-08 23:30:00,April,8,2025-04-08 23:30:00,100.0,37.0,0.0,0.0,272.92,23,1,4,47,0
