timestamp,Month,Day,Interval,Service Level,Call Volume,Abandoned Calls,Abandoned Rate,CCT,hour,day_of_week,month_num,interval_index,cv_lag_1,abd_lag_1,cct_lag_1,cv_lag_2,abd_lag_2,cct_lag_2,cv_lag_48,abd_lag_48,cct_lag_48,cv_lag_96,abd_lag_96,cct_lag_96,cv_lag_336,abd_lag_336,cct_lag_336,cv_roll_mean_3,cv_roll_mean_48,abd_roll_mean_3,cct_roll_mean_3,is_weekend,date,staffing
2025-04-08 00:00:00,April,8,2025-04-08 00:00:00,100.0,69.0,0.0,0.0,322.3,0,1,4,0,104.0,0.0,277.63,151.0,0.0,337.8,52.0,0.0384615384615384,335.06,75.0,0.0,300.03,72.0,0.0,283.29,,,,,0,2025-04-08,433
2025-04-08 00:30:00,April,8,2025-04-08 00:30:00,97.92,48.0,0.0,0.0,326.21,0,1,4,1,69.0,0.0,322.3,104.0,0.0,277.63,37.0,0.0,327.16,47.0,0.0,336.11,56.0,0.0,293.89,,,,,0,2025-04-08,433
2025-04-08 01:00:00,April,8,2025-04-08 01:00:00,100.0,42.0,0.0,0.0,338.71,1,1,4,2,48.0,0.0,326.21,69.0,0.0,322.3,25.0,0.0,267.44,35.0,0.0,290.4,31.0,0.0,323.45,,,,,0,2025-04-08,433
2025-04-08 01:30:00,April,8,2025-04-08 01:30:00,100.0,27.0,1.0,0.0003703703703703,305.12,1,1,4,3,42.0,0.0,338.71,48.0,0.0,326.21,24.0,0.0,423.79,21.0,0.0,233.57,34.0,0.0,247.38,53.0,,0.0,329.0733333333333,0,2025-04-08,433
2025-04-08 02:00:00,April,8,2025-04-08 02:00:00,96.3,29.0,2.0,0.0006896551724137,261.7,2,1,4,4,27.0,0.037037037037037,305.12,42.0,0.0,338.71,15.0,0.0,272.33,25.0,0.04,284.75,16.0,0.0,282.69,39.0,,0.0123456790123456,323.34666666666664,0,2025-04-08,433
2025-04-08 02:30:00,April,8,2025-04-08 02:30:00,100.0,17.0,0.0,0.0,206.53,2,1,4,5,29.0,0.0689655172413793,261.7,27.0,0.037037037037037,305.12,16.0,0.125,235.21,12.0,0.0,374.92,14.0,0.0,293.57,32.666666666666664,,0.0353341847594721,301.8433333333333,0,2025-04-08,433
2025-04-08 03:00:00,April,8,2025-04-08 03:00:00,100.0,12.0,0.0,0.0,289.0,3,1,4,6,17.0,0.0,206.53,29.0,0.0689655172413793,261.7,11.0,0.0,273.64,14.0,0.0,333.5,11.0,0.0,198.64,24.33333333333333,,0.0353341847594721,257.7833333333333,0,2025-04-08,433
2025-04-08 03:30:00,April,8,2025-04-08 03:30:00,100.0,11.0,0.0,0.0,264.82,3,1,4,7,12.0,0.0,289.0,17.0,0.0,206.53,6.0,0.0,379.33,9.0,0.0,406.22,13.0,0.0,272.77,19.33333333333333,,0.0229885057471264,252.41,0,2025-04-08,433
2025-04-08 04:00:00,April,8,2025-04-08 04:00:00,100.0,11.0,1.0,0.0009090909090909,289.7,4,1,4,8,11.0,0.0,264.82,12.0,0.0,289.0,7.0,0.0,294.0,12.0,0.0,564.75,8.0,0.0,467.38,13.333333333333334,,0.0,253.45,0,2025-04-08,433
2025-04-08 04:30:00,April,8,2025-04-08 04:30:00,100.0,13.0,0.0,0.0,457.38,4,1,4,9,11.0,0.0909090909090909,289.7,11.0,0.0,264.82,12.0,0.0,268.42,5.0,0.0,312.8,12.0,0.0,122.75,11.333333333333334,,0.0303030303030303,281.17333333333335,0,2025-04-08,433
2025-04-08 05:00:00,April,8,2025-04-08 05:00:00,100.0,7.0,0.0,0.0,407.86,5,1,4,10,13.0,0.0,457.38,11.0,0.0909090909090909,289.7,10.0,0.0,167.7,8.0,0.0,798.0,17.0,0.0,283.53,11.666666666666666,,0.0303030303030303,337.3,0,2025-04-08,433
2025-04-08 05:30:00,April,8,2025-04-08 05:30:00,100.0,16.0,0.0,0.0,348.38,5,1,4,11,7.0,0.0,407.86,13.0,0.0,457.38,9.0,0.0,185.11,8.0,0.0,321.5,20.0,0.0,275.85,10.333333333333334,,0.0303030303030303,384.98,0,2025-04-08,433
2025-04-08 06:00:00,April,8,2025-04-08 06:00:00,100.0,24.0,0.0,0.0,299.33,6,1,4,12,16.0,0.0,348.38,7.0,0.0,407.86,15.0,0.0,317.27,13.0,0.0769230769230769,192.58,34.0,0.0,301.59,12.0,,0.0,404.54,0,2025-04-08,433
2025-04-08 06:30:00,April,8,2025-04-08 06:30:00,97.37,39.0,1.0,0.0002564102564102,253.05,6,1,4,13,24.0,0.0,299.33,16.0,0.0,348.38,30.0,0.0,265.8,24.0,0.0,337.13,34.0,0.0,224.47,15.666666666666666,,0.0,351.8566666666666,0,2025-04-08,433
2025-04-08 07:00:00,April,8,2025-04-08 07:00:00,98.39,62.0,0.0,0.0,298.44,7,1,4,14,39.0,0.0256410256410256,253.05,24.0,0.0,299.33,61.0,0.0,309.07,32.0,0.0,235.38,82.0,0.0,246.26,26.33333333333333,,0.0085470085470085,300.25333333333333,0,2025-04-08,433
2025-04-08 07:30:00,April,8,2025-04-08 07:30:00,100.0,106.0,0.0,0.0,254.08,7,1,4,15,62.0,0.0,298.44,39.0,0.0256410256410256,253.05,117.0,0.0,272.64,52.0,0.0,266.75,128.0,0.0,280.62,41.66666666666666,,0.0085470085470085,283.6066666666666,0,2025-04-08,433
2025-04-08 08:00:00,April,8,2025-04-08 08:00:00,99.53,214.0,0.0,0.0,267.33,8,1,4,16,106.0,0.0,254.08,62.0,0.0,298.44,202.0,0.0,285.73,85.0,0.0,242.13,223.0,0.0,287.82,69.0,,0.0085470085470085,268.52333333333337,0,2025-04-08,433
2025-04-08 08:30:00,April,8,2025-04-08 08:30:00,100.0,350.0,0.0,0.0,315.73,8,1,4,17,214.0,0.0,267.33,106.0,0.0,254.08,315.0,0.0,288.88,121.0,0.0,283.39,338.0,0.0,307.67,127.33333333333331,,0.0,273.28333333333336,0,2025-04-08,433
2025-04-08 09:00:00,April,8,2025-04-08 09:00:00,99.78,460.0,0.0,0.0,313.41,9,1,4,18,350.0,0.0,315.73,214.0,0.0,267.33,476.0,0.0021008403361344,291.92,171.0,0.0,272.75,569.0,0.0017574692442882,301.98,223.33333333333331,,0.0,279.0466666666667,0,2025-04-08,433
2025-04-08 09:30:00,April,8,2025-04-08 09:30:00,99.18,612.0,0.0,0.0,324.07,9,1,4,19,460.0,0.0,313.41,350.0,0.0,315.73,678.0,0.0,302.31,238.0,0.0,294.74,726.0,0.0027548209366391,310.58,341.3333333333333,,0.0,298.8233333333333,0,2025-04-08,433
2025-04-08 10:00:00,April,8,2025-04-08 10:00:00,96.23,857.0,8.0,9.334889148191364e-05,320.26,10,1,4,20,612.0,0.0,324.07,460.0,0.0,313.41,854.0,0.0035128805620608,320.97,274.0,0.0036496350364963,273.23,813.0,0.002460024600246,322.72,474.0,,0.0,317.7366666666667,0,2025-04-08,433
