Month,Day,Interval,Service Level,Call Volume,Abandoned Calls,Abandoned Rate,CCT,Portfolio
April,1.0,0:00,100.00%,5.0,0.0,0.0,137.6,A
April,1.0,0:30,100.00%,5.0,0.0,0.0,263.4,A
April,1.0,1:00,100.00%,4.0,0.0,0.0,333.25,A
April,1.0,1:30,100.00%,3.0,0.0,0.0,170.0,A
April,1.0,2:00,100.00%,1.0,0.0,0.0,667.0,A
April,1.0,2:30,100.00%,4.0,0.0,0.0,416.5,A
April,1.0,3:00,100.00%,1.0,0.0,0.0,128.0,A
April,1.0,3:30,100.00%,4.0,0.0,0.0,158.0,A
April,1.0,9:30,91.28%,173.0,1.0,0.0058,316.33,A
April,1.0,10:00,99.49%,197.0,0.0,0.0,288.58,A
April,1.0,10:30,98.64%,221.0,0.0,0.0,330.24,A
April,1.0,11:00,100.00%,267.0,0.0,0.0,280.94,A
April,1.0,11:30,98.17%,273.0,0.0,0.0,322.6,A
April,1.0,12:00,97.54%,245.0,1.0,0.0040999999999999995,335.5,A
April,1.0,12:30,95.72%,258.0,1.0,0.0039000000000000003,284.15,A
April,1.0,13:00,100.00%,239.0,0.0,0.0,321.13,A
April,1.0,13:30,99.58%,238.0,0.0,0.0,328.56,A
April,1.0,14:00,99.63%,273.0,0.0,0.0,307.4,A
April,1.0,14:30,99.27%,274.0,0.0,0.0,307.11,A
April,1.0,15:00,97.25%,255.0,0.0,0.0,301.51,A
April,1.0,15:30,94.12%,259.0,4.0,0.0154,323.3,A
April,1.0,16:00,98.83%,259.0,2.0,0.0077,326.37,A
April,1.0,16:30,98.94%,284.0,0.0,0.0,330.98,A
April,1.0,17:00,98.43%,254.0,0.0,0.0,332.5,A
April,1.0,17:30,99.48%,191.0,0.0,0.0,322.13,A
April,1.0,18:00,99.39%,163.0,0.0,0.0,326.13,A
April,1.0,18:30,75.45%,171.0,4.0,0.023399999999999997,336.36,A
April,1.0,19:00,92.59%,108.0,0.0,0.0,347.57,A
April,1.0,19:30,96.00%,75.0,0.0,0.0,324.07,A
April,1.0,20:00,96.36%,56.0,1.0,0.0179,350.62,A
April,1.0,20:30,75.41%,66.0,5.0,0.0758,350.28,A
April,1.0,21:00,69.57%,48.0,2.0,0.0417,387.59,A
April,1.0,21:30,100.00%,26.0,0.0,0.0,291.92,A
April,1.0,22:00,100.00%,27.0,0.0,0.0,269.37,A
April,1.0,22:30,63.64%,13.0,2.0,0.15380000000000002,192.36,A
April,1.0,23:00,84.62%,14.0,1.0,0.07139999999999999,334.46,A
April,1.0,23:30,100.00%,13.0,0.0,0.0,260.31,A
April,2.0,0:00,100.00%,5.0,0.0,0.0,327.6,A
April,2.0,0:30,100.00%,7.0,0.0,0.0,242.29,A
April,2.0,1:00,100.00%,2.0,0.0,0.0,355.5,A
April,2.0,1:30,100.00%,6.0,0.0,0.0,258.0,A
April,2.0,2:00,100.00%,3.0,0.0,0.0,273.67,A
April,2.0,2:30,100.00%,1.0,0.0,0.0,200.0,A
April,2.0,3:00,100.00%,3.0,0.0,0.0,309.33,A
April,2.0,4:00,100.00%,1.0,0.0,0.0,269.0,A
April,2.0,5:00,100.00%,1.0,0.0,0.0,196.0,A
April,2.0,5:30,100.00%,2.0,0.0,0.0,469.5,A
April,2.0,6:30,100.00%,1.0,0.0,0.0,155.0,A
April,2.0,7:00,100.00%,8.0,0.0,0.0,145.88,A
April,2.0,7:30,83.33%,12.0,0.0,0.0,321.42,A
April,2.0,8:00,97.62%,42.0,0.0,0.0,268.95,A
April,2.0,8:30,64.20%,84.0,3.0,0.035699999999999996,249.33,A
April,2.0,9:00,72.81%,118.0,4.0,0.0339,312.5,A
April,2.0,9:30,69.80%,150.0,1.0,0.0067,322.62,A
April,2.0,10:00,98.25%,171.0,0.0,0.0,282.39,A
April,2.0,10:30,95.83%,192.0,0.0,0.0,307.71,A
April,2.0,11:00,91.95%,240.0,4.0,0.0167,329.61,A
April,2.0,11:30,83.33%,235.0,1.0,0.0043,345.16,A
April,2.0,12:00,98.74%,240.0,1.0,0.0042,344.82,A
April,2.0,12:30,84.23%,246.0,5.0,0.0203,332.64,A
April,2.0,13:00,88.80%,241.0,0.0,0.0,322.92,A
April,2.0,13:30,96.34%,273.0,0.0,0.0,304.0,A
April,2.0,14:00,99.64%,275.0,0.0,0.0,339.43,A
April,2.0,14:30,99.60%,253.0,0.0,0.0,292.37,A
April,2.0,15:00,95.15%,268.0,0.0,0.0,351.72,A
April,2.0,15:30,96.09%,263.0,7.0,0.026600000000000002,320.33,A
April,2.0,16:00,79.42%,244.0,1.0,0.0040999999999999995,357.62,A
April,2.0,16:30,99.59%,244.0,1.0,0.0040999999999999995,321.67,A
April,2.0,17:00,99.53%,211.0,0.0,0.0,328.45,A
April,2.0,17:30,100.00%,175.0,0.0,0.0,356.8,A
April,2.0,18:00,98.74%,159.0,0.0,0.0,304.06,A
April,2.0,18:30,100.00%,157.0,0.0,0.0,353.96,A
April,2.0,19:00,100.00%,81.0,0.0,0.0,355.14,A
April,2.0,19:30,100.00%,73.0,0.0,0.0,319.52,A
April,2.0,20:00,100.00%,62.0,0.0,0.0,326.77,A
April,2.0,20:30,97.83%,46.0,0.0,0.0,282.54,A
April,2.0,21:00,100.00%,39.0,0.0,0.0,239.31,A
April,2.0,21:30,100.00%,24.0,0.0,0.0,320.29,A
April,2.0,22:00,100.00%,20.0,0.0,0.0,297.5,A
April,2.0,22:30,43.75%,16.0,0.0,0.0,258.94,A
April,2.0,23:00,80.00%,15.0,0.0,0.0,342.67,A
April,2.0,23:30,100.00%,10.0,0.0,0.0,257.9,A
April,3.0,0:00,100.00%,8.0,0.0,0.0,291.75,A
April,3.0,0:30,100.00%,4.0,0.0,0.0,230.75,A
April,3.0,1:00,100.00%,1.0,0.0,0.0,89.0,A
April,3.0,1:30,100.00%,1.0,0.0,0.0,258.0,A
April,3.0,2:00,100.00%,1.0,0.0,0.0,113.0,A
