Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,11.98,1,0.05771,361.64,81.03,2,0.024707,299.33,137.06,2,0.011036,319.69,84.65,2,0.01847,303.66
August,1,0:30,10.27,0,0.003462,386.83,48.23,0,0.004017,322.98,105.57,0,0.002828,320.7,54.55,0,0.00786,317.12
August,1,1:00,8.56,0,0.048182,371.55,19.29,1,0.068173,393.99,70.38,1,0.015135,310.59,43.26,0,0.00301,320.93
August,1,1:30,3.42,0,0.081818,275.36,11.58,1,0.047569,299.34,66.68,1,0.015136,330.33,31.98,0,0.011415,313.66
August,1,2:00,3.42,0,0.105,474.15,11.58,0,0.042858,337.94,38.89,1,0.033989,317.15,22.57,0,0.020632,326.52
August,1,2:30,5.14,0,0.0,399.45,5.79,0,0.0,340.01,27.78,0,0.001282,341.8,15.05,0,0.00392,373.83
August,1,3:00,1.71,0,0.0,309.59,7.72,0,0.0,320.54,25.93,1,0.041868,354.07,5.64,0,0.013636,438.07
August,1,3:30,1.71,0,0.0,610.74,3.86,0,0.0,152.98,24.08,0,0.000641,295.04,1.88,0,0.0,233.0
August,1,4:00,1.71,0,0.0,244.13,3.86,0,0.0,289.17,22.23,0,0.005537,375.09,0.0,0,0.0,1762.67
August,1,4:30,1.71,0,0.0,183.24,3.86,0,0.0125,304.88,20.37,0,0.016273,298.48,1.88,0,0.0,760.75
August,1,5:00,1.71,0,0.0,408.33,5.79,0,0.0,260.05,24.08,0,0.0,445.44,1.88,0,0.0,215.12
August,1,5:30,1.71,0,0.0,187.35,5.79,0,0.0,256.68,29.63,0,0.0,306.59,1.88,0,0.0,357.24
August,1,6:00,3.42,0,0.02,264.98,5.79,0,0.002777,396.88,42.6,0,0.002259,277.86,18.81,1,0.029314,254.78
August,1,6:30,5.14,1,0.199459,287.52,13.51,4,0.278007,369.46,68.53,1,0.011909,266.28,30.1,2,0.06007,295.79
August,1,7:00,11.98,1,0.092742,254.9,21.22,1,0.025495,286.55,118.54,1,0.007806,273.84,50.79,1,0.018724,255.16
August,1,7:30,25.68,2,0.09719,303.19,42.44,0,0.008661,310.99,181.51,3,0.01457,265.2,80.89,2,0.021051,284.72
August,1,8:00,54.77,1,0.014927,250.17,67.53,1,0.013686,294.66,316.71,2,0.006676,270.12,131.67,1,0.004442,281.24
August,1,8:30,83.87,1,0.006876,277.52,82.96,2,0.026947,304.74,475.99,7,0.014161,292.79,203.15,2,0.007457,268.71
August,1,9:00,130.09,1,0.007272,278.22,208.36,3,0.012594,281.38,633.42,4,0.006787,291.09,295.33,4,0.01432,281.31
August,1,9:30,143.78,2,0.01568,271.92,279.75,5,0.018333,304.56,764.92,27,0.035271,310.07,374.33,10,0.02774,272.74
August,1,10:00,186.57,2,0.010315,293.24,347.27,8,0.022572,305.36,944.58,13,0.013262,308.88,432.64,11,0.0253,287.46
August,1,10:30,222.52,2,0.010116,293.77,409.01,18,0.044601,314.99,1077.93,13,0.011896,321.32,502.24,30,0.05959,290.52
August,1,11:00,268.73,3,0.013007,299.43,463.03,12,0.026763,319.28,1159.42,18,0.015646,323.9,553.03,16,0.029506,298.63
August,1,11:30,251.62,5,0.019513,291.15,526.7,20,0.038038,325.33,1192.76,36,0.02981,330.33,603.82,14,0.022503,300.57
August,1,12:00,282.43,11,0.037501,300.55,547.92,12,0.022204,321.77,1218.69,26,0.021541,329.89,622.63,9,0.014542,307.46
August,1,12:30,297.83,18,0.059227,305.82,567.22,19,0.034174,319.9,1229.8,36,0.029089,329.17,654.61,24,0.036033,300.35
August,1,13:00,285.85,4,0.015504,306.67,569.14,27,0.047541,323.89,1194.61,29,0.023908,332.99,658.37,24,0.036017,309.91
August,1,13:30,282.43,2,0.005915,311.36,613.52,35,0.057504,318.56,1214.99,56,0.046395,331.01,665.9,25,0.036957,304.81
August,1,14:00,275.58,3,0.012082,315.21,634.74,42,0.066749,326.96,1213.13,39,0.032335,335.5,639.56,15,0.024017,303.74
August,1,14:30,289.27,7,0.025208,311.25,621.24,32,0.050923,332.6,1205.72,24,0.019961,329.66,664.01,40,0.05998,312.79
August,1,15:00,275.58,3,0.009914,305.95,632.81,19,0.030184,321.81,1139.05,4,0.003687,338.4,643.32,14,0.022464,297.73
August,1,15:30,282.43,3,0.009747,308.68,613.52,14,0.022177,317.2,1111.27,2,0.001706,335.68,603.82,8,0.013766,296.15
August,1,16:00,277.29,2,0.008374,321.48,621.24,9,0.015187,328.82,1064.96,2,0.002248,335.51,577.49,8,0.013233,310.0
August,1,16:30,237.92,1,0.004993,296.51,600.01,8,0.013658,337.43,968.65,1,0.001458,332.92,528.58,5,0.009784,304.75
August,1,17:00,220.81,6,0.027317,306.53,542.13,4,0.007953,330.84,896.42,3,0.003323,336.04,500.36,4,0.00831,305.81
August,1,17:30,190.0,5,0.02621,318.88,524.77,8,0.014584,333.53,889.01,2,0.00255,332.26,460.86,2,0.003828,305.59
August,1,18:00,196.84,3,0.016333,320.11,464.96,14,0.030285,343.01,818.63,3,0.004202,328.57,434.53,2,0.005009,305.5
August,1,18:30,157.47,2,0.01426,334.17,428.31,12,0.029105,329.56,768.63,6,0.007817,339.95,400.67,1,0.003129,323.51
August,1,19:00,119.82,1,0.009622,321.13,380.07,12,0.030458,329.95,681.58,11,0.016138,328.68,391.26,2,0.005909,315.79
August,1,19:30,89.01,1,0.013247,331.16,333.77,7,0.021286,313.08,635.27,27,0.041869,326.19,329.19,2,0.00633,321.0
August,1,20:00,77.03,2,0.028239,300.31,297.11,20,0.068259,319.48,555.63,19,0.034642,334.68,285.92,4,0.014347,304.61
August,1,20:30,63.33,4,0.057247,275.72,270.1,8,0.030182,304.6,477.84,9,0.018695,328.58,268.99,3,0.011843,296.52
August,1,21:00,42.79,2,0.048054,296.27,206.44,8,0.038568,306.19,405.61,6,0.013828,328.0,225.73,8,0.035369,302.11
August,1,21:30,35.95,2,0.042633,297.1,177.5,3,0.019551,304.95,318.56,2,0.005059,330.08,189.99,2,0.010012,310.03
August,1,22:00,23.96,0,0.016112,364.23,142.77,4,0.027493,297.7,275.96,1,0.004868,322.09,161.77,1,0.005384,295.68
August,1,22:30,17.12,2,0.097243,305.03,127.33,2,0.017056,316.69,227.81,1,0.003492,319.64,137.32,1,0.005008,301.93
August,1,23:00,17.12,2,0.098361,332.33,98.39,2,0.02509,289.28,172.25,0,0.002477,309.68,110.98,0,0.001236,299.49
August,1,23:30,11.98,0,0.006468,259.56,73.31,1,0.011485,294.57,144.46,0,0.001301,314.49,86.53,1,0.008337,282.47
August,2,0:00,7.93,1,0.063333,466.65,61.16,2,0.038452,272.05,97.99,1,0.009482,294.19,68.34,0,0.006807,279.74
August,2,0:30,7.93,1,0.144872,396.29,45.87,2,0.041842,273.13,72.59,1,0.007821,333.96,47.46,0,0.000769,293.25
August,2,1:00,7.93,1,0.081944,388.54,19.66,0,0.003162,368.51,59.89,1,0.015444,297.22,37.97,0,0.007716,301.91
August,2,1:30,7.93,0,0.038636,363.83,15.29,0,0.013553,309.58,45.37,0,0.00916,281.89,28.48,0,0.005294,357.36
August,2,2:00,2.64,0,0.0,157.29,10.92,0,0.003077,353.04,32.66,1,0.033682,302.69,24.68,0,0.01165,330.04
August,2,2:30,2.64,0,0.0,395.83,6.55,0,0.0,317.01,23.59,1,0.037255,320.24,17.09,1,0.049634,381.05
August,2,3:00,5.29,0,0.0,286.77,13.11,0,0.0,383.22,29.04,1,0.050738,322.37,7.59,0,0.064394,381.98
August,2,3:30,2.64,0,0.0,550.7,4.37,0,0.0,266.67,16.33,0,0.001183,397.15,1.9,0,0.0,208.3
August,2,4:00,2.64,0,0.0,302.33,4.37,0,0.0,258.81,18.15,0,0.0,411.28,0.0,0,0.0,125.67
August,2,4:30,2.64,0,0.0,294.8,4.37,0,0.0,367.75,12.7,0,0.0,371.21,0.0,0,0.0,236.67
August,2,5:00,0.0,0,0.0,179.0,4.37,0,0.0,490.79,19.96,0,0.001982,358.85,1.9,0,0.0,335.72
August,2,5:30,5.29,0,0.0,308.59,4.37,0,0.04,280.63,19.96,0,0.008302,277.0,1.9,0,0.0,395.0
August,2,6:00,7.93,0,0.003703,236.89,4.37,0,0.0,407.12,34.48,0,0.007194,268.0,9.49,0,0.039872,246.69
August,2,6:30,5.29,0,0.0,268.25,10.92,0,0.0,293.14,43.55,1,0.021904,249.91,20.88,0,0.020525,277.0
August,2,7:00,13.22,0,0.0,289.54,13.11,0,0.0,285.01,68.96,0,0.002027,268.74,34.17,0,0.003761,292.21
August,2,7:30,15.87,0,0.018407,362.18,21.84,1,0.025223,284.75,101.62,1,0.006879,255.11,56.95,1,0.010657,278.7
August,2,8:00,29.09,1,0.019241,247.57,37.13,0,0.007118,267.17,163.32,0,0.002291,265.33,91.12,1,0.011511,289.47
August,2,8:30,42.32,0,0.004808,279.38,52.42,0,0.008464,297.73,235.91,1,0.003359,281.52,113.9,0,0.0027,298.31
August,2,9:00,52.89,0,0.001923,272.9,122.31,1,0.005102,291.17,310.32,1,0.001712,292.28,172.75,3,0.016629,295.96
August,2,9:30,55.54,0,0.0029,298.7,157.26,0,0.001568,305.42,372.02,1,0.002005,286.0,208.82,2,0.00829,272.33
August,2,10:00,60.83,0,0.000335,288.09,185.66,1,0.00769,294.8,486.34,2,0.003112,288.21,231.6,4,0.017976,287.26
August,2,10:30,92.57,0,0.000684,275.02,207.5,4,0.017288,313.97,566.19,3,0.00463,295.47,303.74,19,0.062172,302.12
August,2,11:00,79.34,0,0.003092,289.4,229.34,3,0.012058,309.3,635.15,2,0.003823,310.48,334.12,7,0.020514,288.74
August,2,11:30,89.92,0,0.004451,297.52,292.68,5,0.018678,301.91,675.07,10,0.014623,310.19,343.61,4,0.011941,295.84
August,2,12:00,140.17,1,0.00624,289.54,305.79,5,0.01748,303.52,729.51,2,0.003374,307.25,372.09,5,0.013468,289.69
August,2,12:30,163.97,3,0.01636,297.11,351.65,9,0.025873,308.33,736.77,5,0.006746,305.1,362.59,3,0.009254,288.42
August,2,13:00,201.0,7,0.034757,301.6,388.78,6,0.015371,291.74,794.84,9,0.011774,319.62,402.46,7,0.017075,297.37
August,2,13:30,219.51,3,0.015882,285.93,421.55,9,0.02053,297.18,767.62,21,0.027234,317.27,402.46,7,0.017453,302.59
August,2,14:00,227.45,2,0.009076,297.89,445.57,7,0.014633,306.3,791.21,12,0.01462,321.41,402.46,4,0.010378,303.07
August,2,14:30,230.09,6,0.028148,295.96,432.47,4,0.009991,307.22,818.44,3,0.003405,311.98,404.36,7,0.017748,291.44
August,2,15:00,216.87,5,0.023025,298.16,471.78,1,0.003049,306.4,742.22,2,0.002374,318.35,406.26,4,0.009061,302.77
August,2,15:30,232.73,7,0.032102,284.54,480.52,3,0.005873,302.84,767.62,2,0.002281,321.79,404.36,10,0.024355,295.34
August,2,16:00,216.87,2,0.008009,293.33,478.34,4,0.008405,302.72,762.18,2,0.003012,317.02,372.09,4,0.010734,307.77
August,2,16:30,198.35,1,0.00325,280.43,417.18,4,0.009028,296.16,722.26,6,0.00876,322.86,372.09,8,0.020892,302.02
August,2,17:00,169.26,2,0.009415,295.74,434.65,6,0.012998,306.67,684.15,3,0.00458,323.57,381.58,5,0.012456,307.64
August,2,17:30,166.62,1,0.008985,280.36,390.97,5,0.013125,308.29,626.08,1,0.001375,313.53,353.1,2,0.006613,303.16
August,2,18:00,121.66,1,0.005447,300.09,380.05,4,0.010774,302.62,564.38,1,0.002058,316.88,334.12,2,0.006645,298.24
August,2,18:30,103.14,1,0.007345,285.73,336.36,5,0.015828,302.78,553.49,2,0.003079,314.67,326.52,2,0.00507,299.35
August,2,19:00,81.99,0,0.004642,286.76,325.44,4,0.013188,286.58,499.05,1,0.002043,320.39,269.57,1,0.002558,297.23
August,2,19:30,68.76,1,0.009837,271.3,273.02,2,0.007769,309.04,442.79,2,0.005531,319.17,260.08,2,0.007029,313.45
August,2,20:00,74.05,2,0.024451,288.01,231.52,1,0.004586,302.05,404.68,2,0.004994,311.75,248.69,4,0.016265,312.75
August,2,20:30,55.54,2,0.027089,295.07,207.5,1,0.004009,295.8,362.94,2,0.006643,315.83,229.71,1,0.005545,298.85
August,2,21:00,55.54,3,0.046631,276.46,194.39,1,0.004664,298.42,312.13,1,0.001996,307.86,182.25,3,0.018415,303.85
August,2,21:30,42.32,1,0.017305,330.04,172.55,1,0.008502,304.52,272.21,1,0.004738,303.47,163.26,1,0.005426,304.84
August,2,22:00,37.03,1,0.021444,280.63,139.79,1,0.010615,310.29,228.65,1,0.003952,316.51,146.18,3,0.017667,312.41
August,2,22:30,37.03,5,0.143847,269.12,111.39,2,0.017113,287.78,205.06,2,0.007975,305.3,121.5,1,0.010776,308.19
August,2,23:00,21.16,2,0.088654,346.08,85.18,1,0.007907,254.19,170.58,0,0.002671,306.36,100.62,0,0.004812,307.66
August,2,23:30,21.16,1,0.043572,290.11,65.53,0,0.004214,272.24,141.55,1,0.004262,305.72,93.02,1,0.011919,320.81
August,3,0:00,1.68,0,0.0,473.64,12.74,1,0.051388,373.17,26.47,0,0.007653,316.54,17.12,0,0.004918,301.36
August,3,0:30,1.34,0,0.0,295.31,10.42,0,0.0,310.82,20.59,0,0.002313,303.5,12.97,0,0.002885,323.34
August,3,1:00,1.01,0,0.0,369.17,5.21,0,0.0,373.86,16.67,0,0.006886,307.33,8.3,0,0.0,342.46
August,3,1:30,0.34,0,0.0,314.14,3.47,0,0.0,414.83,11.27,0,0.013365,329.4,7.78,0,0.008083,348.6
August,3,2:00,0.67,0,0.0,500.01,3.47,0,0.0,283.69,7.35,0,0.038008,297.49,5.19,0,0.044505,312.34
August,3,2:30,0.34,0,0.0,449.0,2.89,0,0.0,414.03,6.86,1,0.077402,365.37,4.67,0,0.027645,327.88
August,3,3:00,0.34,0,0.0,296.4,1.74,0,0.040909,381.64,5.88,0,0.038666,316.18,3.63,0,0.049963,381.25
August,3,3:30,0.34,0,0.0,253.14,1.16,0,0.0,468.12,5.39,0,0.000769,304.52,3.11,0,0.06622,268.53
August,3,4:00,0.34,0,0.0,215.4,1.74,0,0.0225,296.8,5.88,0,0.00641,316.84,3.11,0,0.080416,290.36
August,3,4:30,0.34,0,0.0,172.0,1.16,0,0.0,256.14,4.41,0,0.001709,311.18,3.11,0,0.092638,214.49
August,3,5:00,0.34,0,0.0,273.92,1.16,0,0.002273,315.83,5.39,0,0.007885,340.09,2.59,0,0.048101,311.62
August,3,5:30,0.34,0,0.045,314.15,2.32,0,0.003077,326.75,6.86,0,0.020673,274.22,2.59,0,0.024523,309.54
August,3,6:00,0.67,0,0.001667,269.17,1.74,0,0.0,254.27,11.76,0,0.003542,270.18,5.71,0,0.012403,241.95
August,3,6:30,1.34,0,0.170832,216.2,3.47,1,0.212683,424.69,22.06,0,0.013535,294.97,10.9,0,0.021636,254.31
August,3,7:00,2.68,0,0.028735,223.1,13.31,0,0.012197,270.82,39.7,0,0.002765,246.8,17.64,0,0.011187,271.55
August,3,7:30,4.69,0,0.029875,314.7,21.42,1,0.029725,274.16,60.29,0,0.007957,253.02,29.58,0,0.00838,274.32
August,3,8:00,15.41,0,0.010011,281.48,42.84,0,0.00695,276.61,122.06,1,0.004409,284.07,56.04,0,0.004364,272.65
August,3,8:30,29.15,1,0.020626,309.56,71.78,1,0.019484,298.7,190.68,0,0.002056,295.9,86.66,1,0.015721,283.41
August,3,9:00,44.22,1,0.013461,301.46,107.09,1,0.006665,301.74,270.09,1,0.003341,304.7,139.58,1,0.00959,288.81
August,3,9:30,58.97,1,0.012155,317.95,137.19,1,0.007198,317.39,361.26,8,0.020771,324.01,175.91,6,0.034468,301.86
August,3,10:00,68.01,1,0.008653,320.27,174.82,2,0.010443,322.73,418.62,11,0.025544,325.03,205.48,6,0.029211,309.14
August,3,10:30,78.4,1,0.009875,305.14,195.66,8,0.042521,337.1,469.1,16,0.033618,333.28,236.1,12,0.049356,315.16
August,3,11:00,81.08,0,0.00317,312.78,219.39,5,0.021973,342.32,504.4,12,0.024148,341.98,246.99,8,0.031796,319.14
August,3,11:30,80.41,0,0.003067,326.44,231.55,6,0.027698,342.54,513.71,14,0.026952,345.53,252.7,7,0.026289,320.65
August,3,12:00,80.07,1,0.009584,320.16,252.39,4,0.017526,336.43,533.81,16,0.029599,343.92,283.32,9,0.032569,321.96
August,3,12:30,83.76,1,0.010345,312.79,260.49,9,0.034013,345.75,534.79,20,0.037853,344.02,279.16,12,0.042944,321.36
August,3,13:00,89.45,1,0.012485,313.92,266.86,6,0.020968,345.87,518.12,9,0.018243,350.1,279.16,8,0.027882,322.63
August,3,13:30,81.08,1,0.010136,323.33,287.7,10,0.034571,338.9,528.42,17,0.032637,356.77,287.99,8,0.028561,322.86
August,3,14:00,86.1,1,0.011272,322.88,295.8,9,0.030692,337.18,547.53,16,0.029275,357.07,300.44,8,0.027853,317.92
August,3,14:30,88.78,3,0.033244,323.27,286.54,10,0.035775,338.44,536.75,30,0.055647,354.84,300.96,16,0.054611,325.78
August,3,15:00,83.42,1,0.016564,319.91,291.75,6,0.018923,345.86,556.85,18,0.033097,350.89,299.4,8,0.026457,322.78
August,3,15:30,91.46,1,0.014305,324.83,284.8,3,0.009199,340.55,538.71,6,0.01198,357.46,296.81,7,0.02316,328.37
August,3,16:00,86.44,0,0.005026,339.19,290.01,2,0.005727,340.11,537.24,2,0.003715,353.69,296.29,3,0.009384,333.95
August,3,16:30,82.75,0,0.002298,323.68,279.01,4,0.014122,352.3,519.1,3,0.005433,354.46,289.54,5,0.016729,336.91
August,3,17:00,74.71,1,0.008436,328.34,270.33,2,0.006933,346.96,482.34,5,0.010673,350.8,280.72,3,0.009179,337.57
August,3,17:30,71.36,1,0.00896,319.26,258.18,2,0.006351,350.32,453.42,5,0.011352,356.77,254.26,5,0.018573,331.21
August,3,18:00,53.61,0,0.008171,311.57,224.02,2,0.010839,349.87,419.6,8,0.019338,352.99,233.5,2,0.009132,334.23
August,3,18:30,53.27,1,0.010653,332.44,211.87,4,0.017678,343.99,374.01,5,0.013971,354.24,211.71,1,0.005228,337.08
August,3,19:00,33.84,0,0.002961,328.79,184.66,3,0.01796,351.17,328.91,4,0.012095,364.09,187.84,2,0.011465,319.54
August,3,19:30,27.14,0,0.01394,328.4,173.08,3,0.015013,328.68,298.52,8,0.025202,357.52,171.75,7,0.041773,334.51
August,3,20:00,20.44,0,0.013135,318.21,159.19,4,0.026431,335.11,259.8,6,0.023222,356.95,150.48,5,0.034782,323.52
August,3,20:30,15.41,0,0.029848,323.57,129.09,2,0.013629,326.93,213.23,1,0.006067,346.35,133.87,2,0.01738,325.45
August,3,21:00,13.74,0,0.032526,329.27,104.2,1,0.010843,329.74,178.92,1,0.003087,348.37,106.89,3,0.030784,326.03
August,3,21:30,10.72,0,0.03468,319.33,84.51,0,0.005785,337.42,157.84,0,0.001775,342.24,87.17,1,0.012017,333.03
August,3,22:00,7.71,0,0.002892,324.92,69.46,0,0.004341,320.15,121.07,0,0.002709,335.63,71.09,1,0.007482,328.12
August,3,22:30,6.03,1,0.178027,331.34,52.1,0,0.003922,314.98,98.04,0,0.002347,329.63,63.31,0,0.004264,327.19
August,3,23:00,6.03,0,0.061101,301.53,38.78,0,0.0054,294.74,74.02,0,0.001104,320.25,49.29,0,0.006039,335.23
August,3,23:30,4.02,0,0.002643,336.36,28.94,0,0.003211,298.34,53.43,0,0.00162,331.01,37.36,0,0.004598,318.49
August,4,0:00,7.14,0,0.002564,538.79,56.05,0,0.000555,311.21,95.73,0,0.003823,328.31,66.62,1,0.011421,315.81
August,4,0:30,5.95,0,0.0,298.01,36.43,0,0.003828,308.65,70.87,0,0.000302,339.99,47.03,0,0.0,336.69
August,4,1:00,4.76,0,0.0,355.18,18.21,0,0.007176,322.17,52.22,0,0.000202,340.9,35.27,0,0.0,369.42
August,4,1:30,3.57,0,0.0375,260.58,11.21,0,0.0,388.79,41.03,0,0.008444,298.75,26.13,0,0.016903,348.89
August,4,2:00,2.38,0,0.0,455.23,5.6,0,0.010714,338.24,27.35,0,0.011453,294.73,16.98,1,0.042658,326.74
August,4,2:30,1.19,0,0.0,194.61,5.6,0,0.002777,352.23,28.6,0,0.004173,265.17,14.37,0,0.002903,300.34
August,4,3:00,1.19,0,0.0,483.29,4.2,0,0.002777,362.61,18.65,0,0.024298,274.23,3.92,0,0.002777,376.61
August,4,3:30,1.19,0,0.15,436.08,2.8,0,0.0025,215.99,16.16,0,0.012365,304.58,1.31,0,0.0,287.0
August,4,4:00,1.19,0,0.0,279.33,2.8,0,0.0,248.75,13.68,0,0.015717,324.61,0.0,0,0.033333,488.33
August,4,4:30,1.19,0,0.0,248.17,2.8,0,0.005,223.18,16.16,0,0.010342,281.56,0.0,0,0.0,216.33
August,4,5:00,2.38,0,0.0,259.39,2.8,0,0.0,310.07,18.65,0,0.011538,301.83,0.0,0,0.0,215.67
August,4,5:30,3.57,0,0.005,391.73,5.6,0,0.034615,318.39,21.14,0,0.019681,339.62,1.31,0,0.016667,306.0
August,4,6:00,3.57,0,0.0,314.52,7.01,0,0.0,278.59,41.03,1,0.016108,244.85,18.29,0,0.001098,229.8
August,4,6:30,7.14,1,0.122093,287.03,12.61,3,0.233157,306.88,60.92,1,0.016868,242.59,28.74,1,0.025145,247.99
August,4,7:00,11.9,0,0.041005,261.15,36.43,1,0.021547,260.0,110.65,1,0.005319,262.66,56.17,0,0.007418,279.53
August,4,7:30,19.05,1,0.050828,332.26,56.05,1,0.024674,291.22,177.79,2,0.010756,267.01,83.6,0,0.002184,276.36
August,4,8:00,53.57,1,0.019992,274.6,113.49,1,0.011591,274.43,324.49,1,0.004422,291.39,158.06,1,0.00455,279.64
August,4,8:30,107.13,3,0.032538,303.01,177.95,2,0.012459,301.73,469.96,1,0.003098,304.77,228.6,1,0.002359,289.78
August,4,9:00,153.56,3,0.021953,321.32,257.81,1,0.004954,300.3,671.37,2,0.003649,311.17,346.16,1,0.002424,293.5
August,4,9:30,205.93,3,0.015283,324.59,337.68,4,0.01286,325.09,866.56,9,0.01093,320.65,432.37,4,0.010305,300.29
August,4,10:00,235.69,3,0.013898,318.64,395.12,4,0.010765,317.39,1004.56,10,0.010052,323.4,502.91,7,0.014078,306.52
August,4,10:30,255.93,2,0.007121,315.23,444.16,15,0.032655,329.78,1113.97,26,0.023183,332.92,569.53,22,0.038155,306.87
August,4,11:00,269.02,2,0.006907,321.05,507.22,5,0.010437,333.91,1171.16,19,0.016562,338.82,589.12,16,0.027381,324.61
August,4,11:30,288.07,2,0.00717,326.12,524.03,9,0.016455,334.23,1253.22,15,0.011931,342.49,651.83,16,0.024619,318.75
August,4,12:00,285.69,2,0.007108,322.21,547.85,4,0.006911,343.67,1251.98,19,0.015394,342.86,664.89,8,0.0123,319.0
August,4,12:30,299.97,5,0.016567,316.7,584.28,12,0.020334,345.72,1251.98,51,0.041132,347.3,662.28,21,0.031566,324.78
August,4,13:00,289.26,2,0.005872,320.23,626.31,8,0.013092,342.71,1276.84,15,0.0115,346.14,672.73,22,0.033166,319.53
August,4,13:30,288.07,2,0.005702,329.39,608.1,13,0.021041,343.11,1247.0,36,0.028744,347.72,640.07,28,0.043063,328.83
August,4,14:00,296.4,2,0.007204,320.97,636.12,9,0.014112,334.78,1331.55,22,0.016269,349.46,711.91,23,0.032404,324.26
August,4,14:30,315.45,2,0.006581,320.83,669.75,8,0.011742,345.88,1266.9,24,0.019044,352.86,675.34,17,0.025286,325.07
August,4,15:00,292.83,1,0.004857,323.99,664.14,5,0.008096,335.91,1270.63,12,0.009404,353.08,671.42,12,0.018345,324.66
